,Job Title,Company,Location,Date,Month,Count,Category
1051,Senior Web Enginerweb Enginer,Malia Group,"Mount Lebanon, Lebanon",6/16/21,6,1,Engineer
1053,Software Developer,Pslab,"Mount Lebanon, Lebanon",7/15/21,7,1,Software Developer
1054,Software Development Team Lead,Bsynchro,"Mount Lebanon, Lebanon",7/13/21,7,1,Software Developer
1055,Structural Enginer,Necons,"Mount Lebanon, Lebanon",7/8/21,7,1,Engineer
1056,Support Manager,Norwegian Refugee Council,"Mount Lebanon, Lebanon",8/20/21,8,1,Manager
1057,Team Leader Software Enginer,Menasa,"Mount Lebanon, Lebanon",7/28/21,7,1,Manager
1058,Technical Data Enginer,Apgar Consulting,"Mount Lebanon, Lebanon",7/28/21,7,1,Analyst
1060,Warehouse And Distribution Manager,Droguerie De L Union,"Mount Lebanon, Lebanon",7/16/21,7,1,Manager
1061,Web Developer,Softrasys,"Mount Lebanon, Lebanon",7/8/21,7,1,Software Developer
1063,Animator,Behind Pixel,"North, Lebanon",6/24/21,6,1,Animator
1064,Artificial Inteligence Enginer,Roze Ai,"North, Lebanon",7/19/21,7,1,Art
1065,Beirut Finance Asociate G,Un World Fod Programe Wfp,"North, Lebanon",7/23/21,7,1,Finance Specialist
1067,Chief Technology Oficer,Colege Nationalminieh,"North, Lebanon",6/25/21,6,1,Technology Specialist
1068,Customer Service,Presentail,"North, Lebanon",6/24/21,6,1,Services
1069,Financial Advisor,Alvin D'Or,"North, Lebanon",8/15/21,8,1,Finance Specialist
1070,Financial And Operations Controler,Crosboundary,"North, Lebanon",6/28/21,6,1,Finance Specialist
1071,Guest Services Manager,Handson Management Services,"North, Lebanon",7/22/21,7,1,Manager
1072,Information Field Asistant Lebanon South,Nrc Europe Norwegian Refuge Council,"North, Lebanon",7/29/21,7,1,Assistant
1073,Junior Asociate,Dc Legal Services,"North, Lebanon",6/11/21,6,1,Associate
1074,Operation Manager,New Company,"North, Lebanon",7/29/21,7,1,Manager
1075,Senior Acounting Manager,Direct Trading Technologies Ltd,"North, Lebanon",7/8/21,7,1,Manager
1077,Account Manager,Al Hachem Superstore,"Mount Lebanon, Lebanon",8/10/21,8,1,Accountant
1078,Graphic Designer,Matensa,"Mount Lebanon, Lebanon",8/2/21,8,1,Designer
1079,Software Sales Specialist,Click Round Technologies,"South, Lebanon",8/5/21,8,1,Sales Person
1080,Full Stack Developer,Pioneers Gate,"South, Lebanon",8/3/21,8,1,Software Developer
1081,Ai Jobs -Photo Collection â Global Participants,Transperfect,"South, Lebanon",8/13/21,8,1,Analyst
1083,Horticulture And Pest Control Manager,Mj Services Group,"South, Lebanon",8/6/21,8,1,Manager
1084,Restaurant And Area Operation Manager,ï§ Elpadrino Italian And Baba Sweets,"South, Lebanon",8/20/21,8,1,Manager
1085,Saleswoman,Ghosn Group,"Mount Lebanon, Lebanon",8/8/21,8,1,Sales Person
1086,Senior Android Developer â Full-Time,Toptal,"South, Lebanon",8/18/21,8,1,Software Developer
1087,Senior Blockchain Developer â Full-Time,Toptal,"South, Lebanon",8/18/21,8,1,Software Developer
1088,Senior Ruby On Rails Developer â Full-Time,Toptal,"South, Lebanon",8/18/21,8,1,Software Developer
1089,"Senior Go Developer â Full-Time, Remote",Toptal,"South, Lebanon",8/2/21,8,1,Software Developer
1090,"Senior React Developer â Full-Time, Remote",Toptal,"South, Lebanon",8/2/21,8,1,Software Developer
1091,Actuarial Analyst,Globemed Group,"Mount Lebanon, Lebanon",8/12/21,8,1,Analyst
1092,Business Intelligence Manager,Globemed Group,"Mount Lebanon, Lebanon",8/2/21,8,1,Manager
1094,Creative Designer,Globemed Group,"Mount Lebanon, Lebanon",8/10/21,8,1,Designer
1095,Graphic Designer,Dental Labs & Clinics,"Mount Lebanon, Lebanon",8/3/21,8,1,Designer
1096,Intermediate Software Engineer,The Web Addicts,"Mount Lebanon, Lebanon",8/23/21,8,1,Engineer
1097,Marketing Executive,Emc- Elie Melhem Clinics,"Mount Lebanon, Lebanon",8/23/21,8,1,Marketer
1098,Quality Assurance Analyst,Globemed Group,"Mount Lebanon, Lebanon",8/2/21,8,1,Analyst
1099,Sales Executive,Pictura Sal,"Mount Lebanon, Lebanon",8/5/21,8,1,Sales Person
1100,Senior Android Developer,Foo,"Mount Lebanon, Lebanon",8/1/21,8,1,Software Developer
1101,Senior Art Director,Levant Communication Group,"Mount Lebanon, Lebanon",8/10/21,8,1,Art
1102,Senior Java Backend Developer,Foo,"Mount Lebanon, Lebanon",8/22/21,8,1,Software Developer
1103,Senior System Administrator (Linux),Foo,"Mount Lebanon, Lebanon",8/22/21,8,1,Administrator
1105,Acount Manager,Acacel,"South, Lebanon",7/7/21,7,1,Manager
1106,Administrator,Gc Services,"South, Lebanon",7/6/21,7,1,Administrator
1107,Asistant Profesor Of Computer Science,American University Of Technology,"South, Lebanon",7/16/21,7,1,Assistant
1108,Data Entry Clerk,Transperfect,"South, Lebanon",6/22/21,6,1,Analyst
1109,Food Hygiene Safety Supervisor,Gc Services,"South, Lebanon",6/5/21,6,1,advisor
1110,Furniture Designer,Baydoun Design,"South, Lebanon",7/31/21,7,1,Designer
1111,Head Chef,Gc Services,"South, Lebanon",6/5/21,6,1,Chef
1112,Operations Manager Catering Project,Gc Services,"South, Lebanon",6/5/21,6,1,Manager
1113,Senior Sales Executive,Mplast,"South, Lebanon",7/30/21,7,1,Sales Person
1114,Staf Asistant,United Nations Escap,"South, Lebanon",6/16/21,6,1,Assistant
1116,Executive Chef,Quick Meal Group Sarl,"Beqaa, Lebanon",8/5/21,8,1,Chef
1117,Head Of Project - Economic Development*,Welthungerhilfe,"Akkar, Lebanon",8/20/21,8,1,Software Developer
1118,Senior Android Developer â Full-Time,Toptal,"North, Lebanon",8/18/21,8,1,Software Developer
1119,Senior Blockchain Developer â Full-Time,Toptal,"North, Lebanon",8/19/21,8,1,Software Developer
1120,Senior Ruby On Rails Developer â Full-Time,Toptal,"North, Lebanon",8/18/21,8,1,Software Developer
1121,Ai Jobs -Photo Collection â Global Participants,Transperfect,"North, Lebanon",8/13/21,8,1,Analyst
1122,Beirut - External Partnerships Officer Sc 8,World Food Programme,"North, Lebanon",8/20/21,8,1,Officer
1123,Beirut- Programme Policy Officer (Gender) Sc 8,World Food Programme,"North, Lebanon",8/10/21,8,1,Officer
1124,Digital Marketing Executive,Brio Bags,"North, Lebanon",8/15/21,8,1,Marketer
1125,Executive Chef,Khoury Kitchen,"North, Lebanon",8/12/21,8,1,Chef
1126,External Relations Associate - 28928,"Unhcr, The Un Refugee Agency","North, Lebanon",8/11/21,8,1,Associate
1127,Graphic Designer,Codendot,"North, Lebanon",8/5/21,8,1,Designer
1128,Mobile Application Developer,Vagary,"North, Lebanon",8/13/21,8,1,Software Developer
1129,Scholarship Program Coordinator,Lebanese Association For Scientific Research (Laser),"North, Lebanon",8/18/21,8,1,Coordinator
1130,"Senior Go Developer â Full-Time, Remote",Toptal,"North, Lebanon",8/2/21,8,1,Software Developer
1131,"Senior React Developer â Full-Time, Remote",Toptal,"North, Lebanon",8/2/21,8,1,Software Developer
1132,"Senior Wordpress Developer âAI Full-Time, Remote",Toptal,"North, Lebanon",8/19/21,8,1,Software Developer
1133,Web Developer,Artech,"North, Lebanon",8/10/21,8,1,Software Developer
1135,Senior Android Developer â Full-Time,Toptal,"South, Lebanon",8/18/21,8,1,Software Developer
1136,Senior Blockchain Developer â Full-Time,Toptal,"South, Lebanon",8/18/21,8,1,Software Developer
1137,Senior Ruby On Rails Developer â Full-Time,Toptal,"South, Lebanon",8/18/21,8,1,Software Developer
1138,"Senior Go Developer â Full-Time, Remote",Toptal,"South, Lebanon",8/2/21,8,1,Software Developer
1139,"Senior React Developer â Full-Time, Remote",Toptal,"South, Lebanon",8/2/21,8,1,Software Developer
1140,Ai Jobs -Photo Collection â Global Participants,Transperfect,"Beqaa, Lebanon",8/18/21,8,1,Analyst
1141,Pharmacist,Kadri Pharmacy,"Beqaa, Lebanon",8/6/21,8,1,Pharmacist
1142,Senior Community-Based Protection Assistant - 28927,"Unhcr, The Un Refugee Agency","Beqaa, Lebanon",8/11/21,8,1,Assistant
1143,"Analyst, Commercial Technologies Software Engineering",Cardinal Health,"Mount Lebanon, Lebanon",8/21/21,8,1,Analyst
1144,Dental Laboratory Technician,Technological Crown Innovation,"Mount Lebanon, Lebanon",8/2/21,8,1,Technician
1145,Digital Manager,Iaat Education,"Mount Lebanon, Lebanon",8/3/21,8,1,Manager
1146,Sales Consultant,Multinational Insurance Company,"Mount Lebanon, Lebanon",8/23/21,8,1,Sales Person
1147,Sales Representative,Safelane Insurance Solutions,"Mount Lebanon, Lebanon",8/2/21,8,1,Sales Person
1148,Director General,St.John Technical Institute,"North, Lebanon",8/3/21,8,1,Cinema
1149,Mobile Application Developer,New Company,"North, Lebanon",8/9/21,8,1,Software Developer
1150,Area Account Manager,Cummins Inc.,"Mount Lebanon, Lebanon",8/12/21,8,1,Accountant
1151,Digital Marketing Specialist,Debbane Saikali Group,"Mount Lebanon, Lebanon",8/11/21,8,1,Marketer
1152,Food Services Sales Representative,Meptico Sal,"Mount Lebanon, Lebanon",8/17/21,8,1,Sales Person
1153,Pharmacist,Pharmacie Ste ThÃ©RÃ¨Se Zouk Mikael,"Mount Lebanon, Lebanon",8/17/21,8,1,Pharmacist
1155,Senior Interior Designer,Sahaco,"Mount Lebanon, Lebanon",8/3/21,8,1,Designer
1156,Senior Web Developer,Webboxed,"Mount Lebanon, Lebanon",8/5/21,8,1,Software Developer
